"","Team","FBS","ELO"
"417","Mayville State",0,1200
"418","McDaniel College",0,1200
"419","McKendree",0,1200
"420","McMurry",0,1200
"421","Menlo",0,1200
"422","Menlo College",0,1200
"423","Mercyhurst",0,1200
"424","Methodist",0,1200
"425","Mid-America Nazarene",0,1200
"426","Midwestern State",0,1200
"427","Miles",0,1200
"428","Miles College",0,1200
"429","Millersville",0,1200
"430","Millersville University",0,1200
"431","Millsaps",0,1200
"432","Minnesota-Crookston",0,1200
"433","Minnesota-Duluth",0,1200
"434","Minnesota St-Moorhead",0,1200
"435","Minnesota State",0,1200
"436","Minot State",0,1200
"437","Mississippi College",0,1200
"438","Missouri Baptist",0,1200
"439","Missouri S&T",0,1200
"440","Missouri Western",0,1200
"441","Montana Tech",0,1200
"442","Montclair State",0,1200
"443","Monterrey Tech",0,1200
"444","Morehouse",0,1200
"445","Morehouse College",0,1200
"446","Morris Brown",0,1200
"447","Mount St. Joseph",0,1200
"448","NC Wesleyan",0,1200
"449","Nebraska-Kearney",0,1200
"450","Nebraska-Omaha",0,1200
"451","New Haven",0,1200
"452","New Mexico Highlands",0,1200
"453","Newberry",0,1200
"454","North Greenville",0,1200
"455","Northeastern State",0,1200
"456","Northern Michigan",0,1200
"457","Northern State",0,1200
"458","Northwest Missouri State",0,1200
"459","Northwestern Oklahoma State",0,1200
"460","Notre Dame College",0,1200
"461","Ohio Dominican",0,1200
"462","Ohio Northern",0,1200
"463","OK Panhandle St",0,1200
"464","Oklahoma Baptist",0,1200
"465","Oklahoma Panhandle State",0,1200
"466","Ouachita Baptist",0,1200
"467","Pace",0,1200
"468","Paul Quinn",0,1200
"469","Pikeville",0,1200
"470","Pittsburg State",0,1200
"471","Point University",0,1200
"472","Quincy",0,1200
"473","Randolph-Macon",0,1200
"474","Redlands",0,1200
"475","Reinhardt",0,1200
"476","Rhodes",0,1200
"477","Rhodes College",0,1200
"478","Rocky Mountain",0,1200
"479","Rowan",0,1200
"480","Salve Regina",0,1200
"481","Savannah State",0,1200
"482","Shaw",0,1200
"483","Shepherd",0,1200
"484","Shippensburg",0,1200
"485","Shorter",0,1200
"486","Simon Fraser",0,1200
"487","Sioux Falls",0,1200
"488","Slippery Rock",0,1200
"489","South Dakota Mines",0,1200
"490","Southeastern Oklahoma",0,1200
"491","Southern Arkansas",0,1200
"492","Southern Connecticut State",0,1200
"493","Southern Oregon",0,1200
"494","Southern Virginia",0,1200
"495","Southwest Baptist",0,1200
"496","Southwest Minnesota State",0,1200
"497","Southwestern Assemblies of God",0,1200
"498","Southwestern College",0,1200
"499","Southwestern Oklahoma",0,1200
"500","St. Ambrose",0,1200
"501","St. Andrews",0,1200
